,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
16790,"water, fructose, aloe vera pulp, mango flavor, citric acid, sodiumcitrate, calcium lactate, mango concentrate, gellan gum, vitamin c, b-carotene flavor",0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.4,0.0,42.0
16791,"water, fructose, aloe vera pulp, pineapple concentrate, citric acid, calcium lactate, pineapple flavor, sodium citrate, gellan gum, vitamin c, b-carotene flavor",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,40.0
16792,"water, fructose, aloe vera pulp, pineapple juice concentrate, citric acid, pinapple flavor, calcium lactate, sodium citrate, gellan gum, vitamin c, b-carotene flavor",13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,0.0,40.0
16793,"water, fructose, aloe vera pulp, watermelon juice concentrate, watermelon flavor, calcium lactate, malic acid, glycine, alaine, sodium citric, gellan gum, citric acid, carmine",0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.4,0.0,34.0
16794,"water, fructose, aloe vera pulp, yellow peach puree, cirtric acid, calcium lactate, peach flavour, sodium citrate, gellan gum, vitamin c, b-carotene flavor, carmine",16.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.75,0.0,35.0
16795,"water, fructose, blueberry juice, starch acetate, calcium lactate, citric acid, malic acid, sodium alginate, xanthan gum, blueberry flavor, calcium chloride, potassium sorbate, sodium erythorbate, fd&c red# 40, blue# 2, sucralose, blue#1, cmc",67.0,23.33,0.0,0.0,0.0,0.0,1.2,0.0,10.0,16.67,0.0,93.0
16796,"water, fructose, cumquat juice 45, sugar, lemon juice concentrate 05, antioxidant , flavor citric acid, carboxymethyl cellulose b-carotene",0.0,11.71,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.29,0.0,47.0
16797,"water, fructose, granulated sugar, kon jac, locust bean gum, carrageenan, citric acid, potassium citrate, agar, sodium citrate, potassium sorbate, sodium carboxymethyl cellulose, glucono-&-lactone, b-carotene, b-carotenal flavor, lactic acid, l-ascorbic acid, titanium dioxide, lactose, potassium chloride",0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.01,35.0,23.04,0.0,102.0
16798,"water, fructose, juice concentrate and pulp from mango, citric acid, ascorbic acid",0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.92,0.0,50.0
16799,"water, fructose, kiwi juice, starch acetate, calcium lactate citric acid, malic acid, sodium alginate, xanthan gum, kiwi flavor, calcium chloride, sodium erythorbate, potassium sorbate , sucralose, fd&c yellow6, cmc, fd&c blue 1",67.0,23.33,0.0,0.0,0.0,0.0,1.2,0.0,10.0,16.67,0.0,93.0
16800,"water, fructose, mango juice, starch acetate, calcium lactate, citric acid, malic acid, sodium alginate, xanthan gum, mango flavor, calcium chloride, potassium sorbate, sodium erythorbate, sucralose, fd&c yellow #6, cmc",67.0,24.33,0.0,0.0,0.0,0.0,1.2,0.0,10.0,17.67,0.0,97.0
16801,"water, fructose, nata de coco, citric acid, artificial pineapple flavor, calcium lactate, coconut juice, vitamin c, sodium citrate, gellan gum, beta carotene, sucralose",33.0,7.92,0.0,0.0,0.0,0.0,0.15,0.0,15.0,7.5,0.0,33.0
16802,"water, fructose, passion fruit juice, starch acetate, calcium lactate, citric acid, malic acid, sodium alginate xanthan gum, passion fruit flavor, calcium chloride, potassium sorbate, sodium erythorbate, sucralose, fd&c yellow#6, cmc",67.0,23.67,0.0,0.0,0.0,0.0,1.2,0.0,10.0,17.0,0.0,93.0
16803,"water, fructose, sugar, apple juice concentrate, citric acid, natural flavors, elderberry juice concentrate, fruit and vegetable juice color, potassium sorbate",0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,333.0
16804,"water, fructose, white grape juice 6, pineapple juice 5, cane sugar, skim milk powder, mango juice 1, yogurt powder, cellulose gum, flavors, citric acid, soybean polysaccharide, trisodium citrate, salt, yellow no5, sucrose esters of fatty acids, vitamin complex, yellow no6",0.0,14.58,0.0,0.0,0.0,0.0,0.0,0.42,17.0,13.33,0.0,62.0
16805,"water, fructoseapple juice 7 kiwi juice 4,cane sugar skim milk powder, mango juice 1 yogurt powder cellulose gum, citric acid, flavors, soybean polysaccharide, trisodium citrate, salt, sucrose esters offattyacids, yellow no5, vitamin complex, blue no1",0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.42,21.0,12.08,0.0,58.0
16806,"water, fruit , white grape juice concentrate, lemon juice concentrate, natural pineapple flavor, citric acid, ascorbic acid",0.0,15.04,0.0,0.0,0.0,0.9,0.0,0.0,9.0,14.16,0.0,80.0
16807,"water, fruit concentrates, sugar, citric acid, ascorbic acid, vitamin c, natural colors , natural flavors",0.0,12.92,0.0,0.0,0.0,0.0,0.15,0.0,0.0,12.92,0.0,54.0
16808,"water, fruit juice blend from concentrate , dextrin , agave syrup, natural flavors, pectin, citric acid, fruit juice for color, sucralose, malic acid, vitamin c , vitamin a palmitate",0.0,4.17,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.67,0.0,12.0
16809,"water, fruit juice blend from concentrate , dextrin , agave syrup, natural flavors, pectin, fumaric acid, fruit and vegetable juice for color, malic acid, citric acid, sucralose, vitamin c , vitamin a palmitate sweetened with agave and sucralose",0.0,4.17,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.67,0.0,15.0
16810,"water, fruit juices from concentrate , sugar, modified food starch, citric acid, flavors, xanthan gum, annatto, fd&c red #40 , glycerol abietate",8.0,13.75,0.0,0.0,0.0,0.4,0.0,0.42,4.0,12.5,0.21,58.0
16811,"water, fruit juices from concentrates; apple , cherry , chokeberry juice - for color regulation; sugar and/or glucose-fructose syrup , flavorings, acidity regulator - citric acid",0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0
16812,"water, fruit mix juice 35 , sugar, citric acid, ascorbic acid, pectin, natural flavors",80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,48.0
16813,"water, fruit pectin, citric acid, lactic acid, potassium citrate, sodium benzoate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16814,"water, garlic, extra virgin olive oil, citric acid, sodium benzoate",0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
16815,"water, garlic, vegetable oil , acetic acid , salt, sodium benzoate",18.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,200.0,0.0,0.0,100.0
16816,"water, gelatin, hydrogenated palm kernel oil, sorbitol, erythritol, citric acid, natural & artificial flavor, potassium sorbate , salt, modified cellulose, aspartame, polysorbate 60, sodium citrate, polyglycerol esters of fatty acids, glycerol-lacto esters of fatty acids, acesulfame potassium, xanthan gum, sodium stearoyl lactylate, sodium alginate, hydroxylated soy lecithin, disodium phosphate if strawberry: red 40; if orange: yellow 6, red 40; if lemon lime: yellow 5, blue 1",0.0,1.01,0.0,1.52,0.0,0.0,0.0,2.02,20.0,0.0,1.52,25.0
16817,"water, gelatin, hydrogenated palm kernel oil, sorbitol, erythritol, citric acid, natural & artificial flavor, potassium sorbate , salt, modified cellulose, aspartame, polysorbate 60, sodium citrate, polyglycerol esters of fatty acids, glycerol-lacto esters of fatty acids, acesulfame potassium, xanthan gum, sodium stearoyl lactylate, sodium alginate, hydroxylated soy lecithin, disodium phosphate, if strawberry: red 40, if orange: yellow 6, red 40; if lemon lime; yellow 5, blue 1",0.0,1.01,0.0,1.52,0.0,0.0,0.0,2.02,20.0,0.0,1.52,25.0
16818,"water, gelatin, hydrogenated palm kernel oil, sorbitol, erythritol, citric acid, natural & artificial flavors, potassium sorbate , salt, modified cellulose, aspartame, polysorbate 60, polyglycerol esters of fatty acids, glycerol-lacto esters of fatty acids, sodium citrate, acesulfame potassium, xanthan gum, sodium stearoyl lactylate, sodium alginate, sunflower lecithin, disodium phosphate strawberry: red 40; orange: yellow 6, red 40; lime: yellow 5, blue 1",5.0,1.01,0.0,1.52,0.0,0.0,0.0,2.02,20.0,0.0,1.52,25.0
