,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
141,"apple juice concentrate, filtered water, grape juice concentrate, cranberry juice concentrate, citric acid, black cherry juice concentrate, natural flavors, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.525,0.0,42.0,48.33,0.0,217.0
142,"apple juice concentrate, filtered water, grape juice concentrate, pomegranate juice concentrate, cherry juice concentrate, citric acid, natural flavors, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.6,0.0,42.0,48.33,0.0,217.0
143,"apple juice concentrate, filtered water, grape juice concentrate, pomegranate juice concentrate, natural flavors, citric acid, cranberry juice concentrate, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,42.0,48.33,0.0,217.0
144,"apple juice concentrate, filtered water, malic acid , ascorbic acid",0.0,48.33,0.0,0.0,0.0,0.0,1.8,0.0,8.0,46.67,0.0,200.0
145,"apple juice concentrate, filtered water, malic acid, ascorbic acid",0.0,48.33,0.0,0.0,0.0,0.0,0.6,0.0,42.0,45.0,0.0,200.0
146,"apple juice concentrate, filtered water, orange juice concentrate, clarified pineapple juice concentrate, banana puree, citric acid, natural flavors, ascorbic acid , cochineal extract and strawberry juice concentrate",0.0,48.330000000000005,0.0,0.0,0.0,0.0,0.0,1.67,17.0,45.0,0.0,200.0
147,"apple juice concentrate, filtered water, orange juice concentrate, clarified pineapple juice concentrate, banana puree, citric acid, natural flavors, ascorbic acid and strawberry juice concentrate",0.0,48.33,0.0,0.0,0.0,0.0,0.0,1.67,17.0,45.0,0.0,200.0
148,"apple juice concentrate, filtered water, orange juice concentrate, clarified pineapple juice concentrate, peach puree concentrate, grape juice concentrate, mango puree concentrate, citric acid, natural flavors and ascorbic acid",0.0,48.33,0.0,0.0,0.0,0.0,0.0,1.67,17.0,45.0,0.0,200.0
149,"apple juice concentrate, filtered water, pear juice concentrate, aronia berry juice concentrate, citric acid, grape juice concentrate, natural flavors, ascorbic acid , blackberry juice concentrate, blueberry juice concentrate, strawberry juice concentrate, raspberry juice concentrate",0.0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,42.0,46.669999999999995,0.0,217.0
150,"apple juice concentrate, filtered water, pear juice concentrate, aronia berry juice concentrate, citric acid, grape juice concentrate, natural flavors, ascorbic acid, blackberry juice concentrate, blueberry juice concentrate, strawberry juice concentrate, raspberry juice concentrate",0.0,50.0,0.0,0.0,0.0,0.0,0.6,0.0,42.0,46.67,0.0,217.0
151,"apple juice concentrate, filtered water, pear juice concentrate, citric acid, ascorbic acid , peach juice concentrate, natural flavors, mango puree",0.0,48.33,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,42.0,45.0,0.0,200.0
152,"apple juice concentrate, filtered water, pear juice concentrate, grape juice concentrate, aronia berry juice concentrate, citric acid, cherry juice concentrate, natural flavors, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,42.0,48.33,0.0,217.0
153,"apple juice concentrate, filtered water, pear juice concentrate, grape juice concentrate, citric acid, natural flavors, ascorbic acid , raspberry juice concentrate",0.0,51.67,0.0,0.0,0.0,0.0,0.525,0.0,42.0,48.33,0.0,217.0
154,"apple juice concentrate, filtered water, pear juice concentrate, grape juice concentrate, citric acid, natural flavors, ascorbic acid, strawberry juice concentrate, kiwi juice concentrate",0.0,51.67,0.0,0.0,0.0,0.0,0.6,0.0,42.0,48.33,0.0,217.0
155,"apple juice concentrate, filtered water, pear juice concentrate, grape juice concentrate, citric acid, natural flavors, strawberry juice concentrate, clarified banana juice concentrate, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,42.0,51.67,0.0,217.0
156,"apple juice concentrate, filtered water, pear juice concentrate, grape juice concentrate, natural flavors, citric acid, ascorbic acid , fumaric acid, cranberry juice concentrate, raspberry juice concentrate",0.0,51.669999999999995,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,42.0,48.330000000000005,0.0,217.0
157,"apple juice concentrate, filtered water, pear juice concentrate, grape juice concentrate, natural flavors, citric acid, cranberry juice concentrate, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,42.0,48.33,0.0,200.0
158,"apple juice concentrate, filtered water, pear juice concentrate, natural flavors, passionfruit juice concentrate, mango puree, citric acid, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.6,0.0,42.0,48.33,0.0,217.0
159,"apple juice concentrate, filtered water, pomegranate juice concentrate, aronia berry juice concentrate, grape juice concentrate, citric acid, natural flavors, ascorbic acid , blueberry juice concentrate",0.0,51.669999999999995,0.0,0.0,0.0,0.0,0.5,0.0,42.0,48.330000000000005,0.0,217.0
160,"apple juice concentrate, high fructose corn syrup, corn syrup, water, sugar, pectin, citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,250.0
161,"apple juice concentrate, mango puree, carrot juice concentrate, water, banana puree, orange juice concentrate, pear juice concentrate, lemon juice concentrate, chia seed turmeric powder, vitamins , minerals , pectin",8.0,14.4,0.0,0.0,0.0,1.2,0.58,0.4,14.0,11.6,0.0,60.0
162,"apple juice concentrate, water, ascorbic acid",0.0,48.33,0.0,0.0,0.0,0.0,0.0,0.0,17.0,43.33,0.0,200.0
163,"apple juice concentrate, water, spinach puree, cucumber juice pineapple juice concentrate, lemon juice concentrate, ginger juice",16.0,12.0,0.0,0.0,0.0,0.8,1.48,0.4,8.0,10.4,0.0,48.0
164,apple juice concentrate; ascorbic acid,0.0,48.33,0.0,0.0,0.0,0.0,0.0,0.0,25.0,43.33,0.0,200.0
165,"apple juice corn syrup, high fructose corn syrup, citric acid, and fruit pectin",0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,250.0
166,"apple juice form concentrate , ascorbic acid , citric acid",0.0,11.86,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.19,0.0,47.0
167,apple juice from concentrate,0.5,11.896875,0.0,0.0,0.0,0.016666666666666666,0.04624999999999999,0.0,9.4375,11.128124999999999,0.0,48.25
168,"apple juice from concentrate , and ascorbic acid",0.0,12.4475,0.0,0.0,0.0,0.0,0.39,0.0,6.0,11.9225,0.0,51.0
169,"apple juice from concentrate , apple juice and ascorbic acid",0.0,12.888,0.0,0.0,0.0,0.0,0.0,0.0,6.8,10.51,0.0,49.2
170,"apple juice from concentrate , apple juice from concentrate , natural flavor and citric acid",8.0,13.33,0.0,0.0,0.0,0.0,0.0,0.42,8.0,12.92,0.0,54.0
171,"apple juice from concentrate , apple puree from concentrate , cherry juice from concentrate , banana puree, cranberry juice from concentrate , strawberry puree, cherry puree from concentrate , dextrin , blackberry puree, pomegranate juice from concentrate , blueberry puree, chicory root inulin , pectin, natural flavors, vitamin a , vitamin d3 , vitamin e , vitamin b7 , vitamin b9 , vitamin b3 , vitamin b5 , vitamin b1 , vitamin b12 , vitamin b2 , vitamin b6 , vitamin c , vitamin k1",9.0,14.89,0.0,0.0,0.0,2.7,0.24,0.22000000000000003,12.0,10.89,0.0,60.0
172,"apple juice from concentrate , apple puree from concentrate , cherry juice from concentrate , banana puree, cranberry juice from concentrate , strawberry puree, cherry puree from concentrate , peach puree, dextrin , blackberry puree, blueberry puree, pomegranate juice from concentrate , inulin , pectin, natural flavors, vitamin a , vitamin d3 , vitamin e , vitamin b7 , vitamin b9 , vitamin b3 , vitamin b5 , vitamin b1 , vitamin b12 , vitamin b2 , vitamin b6 , vitamin c , vitamin k1",8.0,14.024444444444445,0.0,0.0,0.0,3.3,0.3,0.42,12.722222222222221,10.533888888888889,0.0,59.111111111111114
173,"apple juice from concentrate , apple puree, pomegranate and grape juices from concentrate , blueberry puree, natural flavors, citric acid, ascorbic acid and vitamin e acetate",0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,46.0
174,"apple juice from concentrate , ascorbic acid",0.0,11.67,0.0,0.0,0.0,0.0,0.02462264150943396,0.0,13.5,11.619433962264152,0.0,46.075471698113205
175,"apple juice from concentrate , ascorbic acid , citric acid",0.0,11.839210526315789,0.0,0.0,0.0,0.0,0.0,0.0,7.684210526315789,11.154736842105264,0.0,47.18421052631579
176,"apple juice from concentrate , ascorbic acid , malic acid",4.125,11.34,0.0,0.0,0.0,0.0,0.09375,0.07875,8.625,11.02875,0.0,45.25
177,"apple juice from concentrate , ascorbic acid vitamin c), citric acid",0.0,11.86,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.19,0.0,47.0
178,"apple juice from concentrate , ascorbic acid |, malic acid",10.0,11.19,0.0,0.0,0.0,0.0,0.27,0.0,5.0,11.19,0.0,44.0
179,"apple juice from concentrate , ascorbic acid, , citric acid",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.83,0.0,46.0
180,"apple juice from concentrate , banana puree , mango puree , pineapple juice from concentrate , kiwi puree , pectin, natural flavors, spirulina, broccoli juice, spinach juice, and ginger juice",8.0,15.0,0.0,0.0,0.0,1.2,0.3,0.0,4.0,13.33,0.0,58.0
181,"apple juice from concentrate , banana puree+, blueberry puree, blackberry puree, chicory root fiber, carrot juice from concentrate , natural flavors, blueberry juice from concentrate , ascorbic acid , vitamin e acetate, niacinamide, d-calcium pantothenate , pyridoxine hydrochloride , cyanocobalamin",12.0,16.67,0.0,0.0,0.0,0.4,0.17,0.42000000000000004,4.0,12.08,0.0,71.0
182,"apple juice from concentrate , banana puree+, orange juice, pineapple juice, soy protein isolate, coconutmilk , whey protein concentrate, natural flavor, ascorbic acid",12.0,13.75,4.0,0.0,0.0,0.0,0.83,6.25,56.0,10.83,0.42,79.0
183,"apple juice from concentrate , banana puree, blueberry juice concentrate , dextrin , lemon juice concentrate , blackcurrant juice from concentrate , blackberry juice from concentrate , natural flavors, inulin , purple carrot concentrate , xanthan gum, vitamin c , vitamin e , vitamin b3 , vitamin b5 , vitamin b9 , vitamin b6 , vitamin b1 , vitamin b2 , vitamin b7 , vitamin b12",8.0,17.08,0.0,0.0,0.0,3.3,0.15,0.42000000000000004,12.0,12.08,0.0,71.0
184,"apple juice from concentrate , banana puree, blueberry juice from concentrate , dextrin , lemon juice from concentrate , black currant juice from concentrate , blackberry juice from concentrate , natural flavors, chicory , purple carrot concentrate , xanthan gum, vitamin c , vitamin e , vitamin b3 , vitamin b5 , vitamin b9 , vitamin b6 , vitamin b1 , vitamin b2 , vitamin b7 , vitamin b12",4.909090909090909,17.14818181818182,0.0,0.0,0.0,3.4818181818181815,0.09090909090909091,0.37000000000000005,12.0,12.184545454545455,0.06818181818181818,71.0
185,"apple juice from concentrate , banana puree, blueberry juice from concentrate , dextrin , lemon juice from concentrate , black currant juice from concentrate , blackberry juice from concentrate , natural flavors, inulin , purple carrot concentrate , xanthan gum, vitamin c , vitamin e , vitamin b3 , vitamin b5 , vitamin b9 , vitamin b6 , vitamin b1 , vitamin b2 , vitamin b7 , vitamin b12",8.0,17.08,0.0,0.0,0.0,3.3,0.15,0.42000000000000004,12.0,12.08,0.0,71.0
186,"apple juice from concentrate , banana puree, blueberry juice from concentrate , lemon juice from concentrate , dextrin, black currant juice from concentrate , blackberry juice from concentrate , contains 1 or less: natural flavors, chicory root fiber, vegetable juice for color, xanthan gum, ascorbic acid, d-alpha tocopheryl acetate, niacin, pantothenic acid, folic acid, pyridoxine hcl, thiamin, riboflavin, biotin, cyanocobalamin, maltodextrin",8.0,16.25,0.0,0.0,0.0,2.5,0.17,0.42,8.0,12.08,0.0,67.0
187,"apple juice from concentrate , banana puree, blueberry puree, blackberry puree, lemon juice, natural flavors, fruit and vegetable juices for color, ascorbic acid , vitamin e acetate, dried blueberries, grape seed extract, sodium selenite",9.0,14.89,0.0,0.0,0.0,1.3,0.16,0.44000000000000006,3.0,11.33,0.0,60.0
188,"apple juice from concentrate , banana puree, strawberry puree, lemon juice, dextrin , natural flavors, fruit and vegetable juices for color, ascorbic acid",4.0,15.559999999999999,0.0,0.0,0.0,1.1,0.24,0.44000000000000006,3.0,10.67,0.0,62.0
189,"apple juice from concentrate , banana puree, strawberry puree, orange juice, natural flavor, fruit juices for color",9.0,11.56,0.0,0.0,0.0,1.1,0.2,0.44,1.0,8.44,0.0,60.0
190,"apple juice from concentrate , blueberry puree, kiwi puree, banana puree+, mango puree, red beet juice from concentrate , blackberry puree, calcium citrate, natural flavor, ascorbic acid , vitamin e acetate, niacinamide, calcium pantothenate , pyridoxine hydrochloride , cyanocobalamin , vitamin d3",179.0,13.33,0.0,0.0,0.0,1.2,0.25,0.42,6.0,10.42,0.0,58.0
191,"apple juice from concentrate , blueberry puree, kiwi puree, banana puree+, mango puree, red beet juice from concentrate , blackberry puree, calcium citrate, natural flavor, ascorbic acid , vitamin e acetate, niacinamide, calcium pantothenate , pyridoxine hydrochloride cyanocobalamin , vitamin d3",179.0,13.33,0.0,0.0,0.0,1.2,0.25,0.42,6.0,10.42,0.0,58.0
192,"apple juice from concentrate , calcium gluconate, calcium lactate, ascorbic acid , malic acid",83.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.5,0.0,50.0
193,"apple juice from concentrate , citric acid",12.0,11.25,0.0,0.0,0.0,0.0,0.25,0.0,4.0,11.25,0.0,46.0
194,"apple juice from concentrate , cranberry juice from concentrate , natural flavor, ascorbic acid , fruit juice , citric acid",0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.92,0.0,50.0
195,"apple juice from concentrate , cranberry juice from concentrate , pear juice from concentrate , fruit and vegetable juice concentrate , ascorbic acid , natural flavors, citric acid",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.25,0.0,46.0
196,"apple juice from concentrate , cucumber juice from concentrate , celery juice from concentrate , kiwi puree, lemon juice from concentrate , kale juice, romaine lettuce juice, spinach puree, green bell pepper juice, pineapple juice from concentrate , root fiber, natural flavors, spirulina powder, wheatgrass extract",16.0,7.78,0.0,0.0,0.0,0.4,0.22,0.44,71.0,6.67,0.0,33.0
197,"apple juice from concentrate , grape juice from concentrate , and 0 5 of natural flavors, ascorbic acid , citric acid",0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.4,0.0,80.0
198,"apple juice from concentrate , grape juice from concentrate , and 05 of natural flavors, ascorbic acid , citric acid",0.0,12.08,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.67,0.0,50.0
199,"apple juice from concentrate , grape juice from concentrate , ascorbic acid , natural flavors, citric acid",0.0,12.053333333333335,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,11.333333333333334,0.0,50.0
200,"apple juice from concentrate , grape juice from concentrate , cherry juice from concentrate , natural flavors, ascorbic acid",0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.92,0.0,54.0
201,"apple juice from concentrate , grape juice from concentrate , cherry juice from concentrate , raspberry juice from concentrate , natural flavors, ascorbic acid",0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.5,0.0,50.0
202,"apple juice from concentrate , grape juice from concentrate , concord grape juice from concentrate , cranberry juice from concentrate , natural flavor, citric acid, ascorbic acid",0.8333333333333334,16.25,0.9583333333333334,0.008749999999999999,0.0,0.049999999999999996,0.034583333333333334,0.06958333333333333,28.791666666666668,16.25,0.10416666666666667,63.416666666666664
203,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , citric acid, natural flavor, ascorbic acid , tartaric acid",0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.58,0.0,62.0
204,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , citric acid, pear juice from concentrate , natural flavors, ascorbic acid , pectin",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.67,0.0,46.0
205,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , mango juice from concentrate , natural flavors, fumaric acid, ascorbic acid , vegetable concentrate , gum arabic, ester gum",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.5,0.0,50.0
206,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , mango juice from concentrate , natural flavors, fumaric acid, ascorbic acid , vegetable concentrate for color, gum arabic, ester gum)",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.5,0.0,50.0
207,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , natural flavors, ascorbic acid , citric acid",0.0,14.520714285714286,0.0,0.0,0.0,0.0,0.0,0.0,14.785714285714286,13.75,0.0,57.714285714285715
208,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , natural flavors, citric acid, ascorbic acid",0.0,15.42,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,62.0
209,"apple juice from concentrate , grape juice from concentrate , cranberry juice from concentrate , raspberry juice from concentrate , natural flavors, ascorbic acid , citric acid",1.1428571428571428,14.401428571428571,0.0,0.0,0.0,0.0,0.02428571428571429,0.0,14.571428571428571,14.401428571428571,0.0,57.42857142857143
210,"apple juice from concentrate , grape juice from concentrate , natural flavor, citric acid",8.0,13.75,0.0,0.0,0.0,0.0,0.0,0.42,8.0,13.75,0.0,58.0
211,"apple juice from concentrate , grape juice from concentrate , natural flavors, ascorbic acid , citric acid",0.0,12.446666666666667,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.797777777777778,0.0,52.666666666666664
212,"apple juice from concentrate , grape juice from concentrate , passion fruit juice from concentrate , natural flavors, ascorbic acid",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.83,0.0,50.0
213,"apple juice from concentrate , grape juice from concentrate , passionfruit juice from concentrate , natural flavors, ascorbic acid , fruit juice",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.08,0.0,50.0
214,"apple juice from concentrate , grape juice from concentrate , plum juice from concentrate , cranberry juice from concentrate , pomegranate juice from concentrate , natural flavors, fumaric acid, ascorbic acid",8.0,12.08,0.0,0.0,0.0,0.0,0.17,0.0,12.0,12.08,0.0,50.0
215,"apple juice from concentrate , grape juice from concentrate , plum juice from concentrate , pear juice from concentrate , cranberry juice from concentrate , pomegranate juice from concentrate , natural flavors, fumaric acid, ascorbic acid",7.0,12.2,0.0,0.0,0.0,0.0,0.12,0.0,7.0,12.2,0.0,47.0
216,"apple juice from concentrate , grapefruit juice from concentrate , citric acid, ascorbic acid , natural flavors, vegetable concentrate",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,12.0,12.08,0.0,50.0
217,"apple juice from concentrate , grapefruit juice from concentrate , grape juice from concentrate , mango juice from concentrate , pineapple juice from concentrate , tangerine juice from concentrate , natural flavors, fumaric acid, vegetable concentrate for color, ascorbic acid",8.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.67,0.0,46.0
218,"apple juice from concentrate , grapefruit juice from concentrate , grape juice from concentrate , tangerine juice from concentrate , orange juice from concentrate , vegetable concentrate for color, natural flavors, fumaric acid, ascorbic acid",8.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.67,0.0,46.0
219,"apple juice from concentrate , high fructose corn syrup, corn syrup, contains 2 of citric acid, fruit pectin",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,250.0
220,"apple juice from concentrate , juice from concentrate , grape juice from concentrate , strawberry juice from concentrate , kiwi juice from concentrate , natural flavors, ascorbic acid , citric acid",0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,50.0
221,"apple juice from concentrate , malic acid",0.0,12.08,0.0,0.0,0.0,0.0,0.15,0.0,10.0,11.25,0.0,50.0
222,"apple juice from concentrate , malic acid , ascorbic acid",0.0,12.08,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.67,0.0,50.0
223,"apple juice from concentrate , malic acid, ascorbic acid",0.0,12.08,0.0,0.0,0.0,0.0,0.13125,0.0,10.0,11.25,0.0,50.0
224,"apple juice from concentrate , mango puree from concentrate , pineapple juice from concentrate , banana puree, water, sugar, almond protein, citric acid, pumpkin juice concentrate , natural flavors, carob gum, modified cellulose, annatto pectin",138.0,206.665,0.0,0.0,0.0,8.65,4.305,8.615,64.5,185.135,0.0,861.5
